City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Akdepe,TM,42.0551,59.3788,51.8,87,0,20.71,clear sky
79,Moses Lake,US,47.1301,-119.2781,66.2,20,1,6.91,clear sky
80,Bonavista,CA,48.6499,-53.1147,44.6,81,98,5.75,overcast clouds
81,Pandan,PH,14.0453,124.1694,78.53,80,20,8.79,few clouds
82,Qaanaaq,GL,77.484,-69.3632,-15.56,87,100,6.58,overcast clouds
83,Butaritari,KI,3.0707,172.7902,82.99,76,99,16.04,overcast clouds
84,Uruzgan,AF,32.8333,66.0,63.3,35,100,3.29,overcast clouds
85,Port Hardy,CA,50.6996,-127.4199,41.0,93,90,11.5,light rain
86,Luwuk,ID,-0.9516,122.7875,78.82,80,99,3.65,overcast clouds
87,Vanimo,PG,-2.6741,141.3028,76.98,89,100,4.88,overcast clouds
88,Sisimiut,GL,66.9395,-53.6735,8.69,67,26,13.15,scattered clouds
89,Aitape,PG,-3.1374,142.3475,77.29,86,100,3.15,overcast clouds
90,Ancud,CL,-41.8697,-73.8203,62.6,59,0,6.91,clear sky
91,Lluta,PE,-16.0147,-72.0142,62.6,55,75,9.22,broken clouds
92,Gurlan,UZ,41.8447,60.3919,51.8,87,90,13.8,overcast clouds
93,Gravdal,NO,68.1214,13.5031,35.06,92,100,14.88,light snow
94,Mount Gambier,AU,-37.8333,140.7667,57.2,94,90,3.0,overcast clouds
95,Hilo,US,19.7297,-155.09,73.0,78,90,4.61,light rain
96,Meadow Lake,US,34.8014,-106.5436,81.0,16,40,1.5,scattered clouds
97,Bay Roberts,CA,47.5999,-53.2648,46.0,82,72,5.01,broken clouds
98,Palmer,US,42.1584,-72.3287,51.01,16,20,5.75,few clouds
99,Atuona,PF,-9.8,-139.0333,80.69,75,97,12.84,overcast clouds
100,Mount Isa,AU,-20.7333,139.5,62.6,67,0,2.3,clear sky
101,Cape Town,ZA,-33.9258,18.4232,64.99,88,0,5.75,clear sky
102,Vaini,TO,-21.2,-175.2,75.2,73,90,8.05,light rain
103,Port Macquarie,AU,-31.4333,152.9167,64.0,100,90,3.44,overcast clouds
104,Banikoara,BJ,11.2985,2.4386,83.21,10,17,3.83,few clouds
105,Tuatapere,NZ,-46.1333,167.6833,66.0,62,66,13.0,broken clouds
106,Lanzhou,CN,36.0564,103.7922,45.0,99,97,1.01,overcast clouds
107,Tuktoyaktuk,CA,69.4541,-133.0374,-7.6,77,20,6.91,few clouds
108,Hermanus,ZA,-34.4187,19.2345,64.0,84,0,5.01,clear sky
109,Saint-Philippe,RE,-21.3585,55.7679,77.0,78,0,8.05,clear sky
110,Longyearbyen,SJ,78.2186,15.6401,21.2,68,75,13.8,broken clouds
111,Dikson,RU,73.5069,80.5464,-20.33,86,49,4.92,scattered clouds
112,Husavik,IS,66.0449,-17.3389,32.0,100,90,20.71,light snow
113,Tiksi,RU,71.6872,128.8694,-13.43,100,100,6.11,overcast clouds
114,Nova Soure,BR,-11.2333,-38.4833,78.87,64,8,16.8,light rain
115,Arman,RU,59.7,150.1667,20.55,61,100,15.52,overcast clouds
116,College,US,64.8569,-147.8028,26.01,79,90,4.61,snow
117,Avarua,CK,-21.2078,-159.775,84.2,79,20,13.8,few clouds
118,Saint Paul,US,44.9444,-93.0933,71.6,23,1,12.66,clear sky
119,Provideniya,RU,64.3833,-173.3,8.53,83,100,10.16,overcast clouds
120,Marsh Harbour,BS,26.5412,-77.0636,67.86,57,4,24.63,clear sky
121,Shipitsyno,RU,61.2806,46.5208,25.3,97,92,2.91,overcast clouds
122,Saint George,US,37.1041,-113.5841,88.0,13,1,4.61,clear sky
123,Turgoyak,RU,55.15,60.1183,30.83,97,100,3.58,overcast clouds
124,Sao Caetano De Odivelas,BR,-0.75,-48.02,74.93,94,100,6.73,overcast clouds
125,Haines Junction,CA,60.7522,-137.5108,30.2,31,99,4.61,overcast clouds
126,Del Rio,US,29.3627,-100.8968,69.8,60,90,19.57,overcast clouds
127,Bataipora,BR,-22.2953,-53.2711,77.86,53,100,8.28,overcast clouds
128,Mitzic,GA,0.7821,11.549,70.48,97,100,2.62,overcast clouds
129,Kahului,US,20.8947,-156.47,78.8,57,40,18.41,scattered clouds
130,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,33.8,93,90,17.9,light rain and snow
